bigram,w1_freq,w2_freq,bigram_freq,tp_b,tp_d,log_lklhd,dice,t_score,z_score,mi_score,mi3_score,g_score,delta_p12,delta_p21
long life,741,2896,6,0.013888888888888888,0.05882352941176471,7.632228918373585,-5.663360434142168,7.247365809712076,7.289183676212978,3.4287893607899553,8.598714362232268,-3.885687977273312,0.0018751858588901152,0.0072807856443415685
powerful forces,334,714,6,0.043478260869565216,0.125,18.60997601598501,-3.879923548008249,23.547099863872266,23.86264791713921,6.598480423675842,11.768405425118155,-3.583569259251189,0.008246622203414619,0.01746171259729799
political entity,5244,37,6,0.25,0.005917159763313609,19.33892125636339,-6.199944937192563,24.540925917190428,26.525768602811667,6.8960596443282896,12.065984645770602,-2.076045743028741,0.13817520025441152,0.0011332506781737525
ethnic minorities,336,36,6,0.2,0.09090909090909093,33.706665888428695,-2.4150374992788444,98.18847264571791,107.01308237877441,10.899722555957922,16.069647557400234,-1.8097779747307328,0.14276991254419372,0.017534512816193292
junior year,115,1909,6,0.025,0.2,18.963539756834507,-4.821596844633382,24.216675812316474,24.88671885057797,6.7178735418306825,11.887798543272991,-3.4174306470848514,0.0031033019428114315,0.049091375990930684
common chimpanzee,1322,6,6,1.0,0.02631578947368421,34.338094718754284,-4.218092283902823,93.21353535680656,132.1910321708105,11.508496017950149,16.678421019392463,-1.7575553914571909,0.4996568780889407,0.0045165144715344895
good society,1469,1542,6,0.02,0.020408163265306117,7.382905848324299,-5.3918402621853945,7.0227246907043135,7.056484409860286,3.350759249707681,8.520684251149993,-3.2458104883022694,0.003494708132218033,0.0036675970813771852
other citizens,8884,515,6,0.043478260869565216,0.004545454545454545,4.229965165257453,-7.030207313122448,4.3747888761130325,4.419787638122405,2.336542680561433,7.506467682003745,-3.223533384940433,0.009215010776079271,0.0005412206247577973
major issues,1751,1237,6,0.02325581395348837,0.017241379310344827,7.593142800033092,-5.380821783940932,7.21493695988027,7.251257529021398,3.415371826769068,8.585296828211378,-3.183224639982248,0.0043726141469846705,0.003093844332104613
traditional songs,1003,84,6,0.25,0.03571428571428571,23.86852990835905,-3.932050669506919,38.921666519854384,40.42440683926323,8.099541666788053,13.269466668230367,-3.0395497770540447,0.06640631888044049,0.005924672659972832
moral problems,906,1907,6,0.014285714285714284,0.027777777777777776,8.668515905737879,-5.294110150747599,8.241799935086389,8.28719197527013,3.7415086118200027,8.911433613262316,-2.94679279268182,0.0029012594121151074,0.006084065259097
close attention,297,1136,6,0.022727272727272728,0.09090909090909093,16.826347932219505,-4.326928775945729,19.717950698915892,19.9739630826559,6.097898739873547,11.267823741315858,-2.9633968929110543,0.005176834308735462,0.019507119903657864
individual evaluations,338,48,6,0.3333333333333333,0.07692307692307693,32.276732988655574,-2.4666996191013366,86.3262525381152,92.38481698218685,10.476123043175653,15.646048044617965,-2.4471663218051534,0.11102336161567072,0.01742939806003826
wild salmon,72,371,6,0.06666666666666668,0.3333333333333333,29.78616908937693,-2.6597977336437464,68.5799670378157,71.96077455712184,9.756764602115881,14.926689603558188,-2.8026867533970607,0.015896425872261134,0.0768267609943694
similar pattern,1053,559,6,0.07692307692307693,0.05263157894736842,14.005895271897314,-4.4954109157428634,14.82870779804832,14.957840318633096,5.2949707863100866,10.4648957877524,-4.192640710204987,0.01034614633367902,0.005520606540040772
psychoanalytic theories,89,360,6,0.06666666666666668,0.25,28.877768613398075,-2.678697938987026,63.05390043248793,65.69073062205585,9.494378452882923,14.664303454325236,-2.6968769005040847,0.016370335492843398,0.0630644342695813
immediate concern,285,747,6,0.03333333333333333,0.125,19.1885739415884,-3.857980995127572,24.916474556720853,25.283614643360284,6.7621824383376525,11.932107439779966,-3.2043965036033666,0.007894136512785187,0.02042464571370212
open space,405,307,6,0.1,0.07142857142857142,21.957801155745983,-3.329920885640893,32.64756481513568,33.21497422314766,7.538092037036827,12.70801703847914,-3.205573453628322,0.01906418727613922,0.01451883803974691
close association,297,279,6,0.09090909090909093,0.09090909090909093,24.044322066009045,-3.029747343394052,39.92073846956992,40.759491198481044,8.12352454754904,13.293449548991351,-2.9456344365712144,0.020975525432341324,0.019729546812719625
odd harmonics,31,11,6,1.0,0.5,51.06991047412157,0.4150374992788437,469.4951252775016,637.6549872119248,16.048337051154824,21.218262052597133,-1.5552163582674614,0.3529331277984504,0.16215930616689586
social policies,5779,725,6,0.03333333333333333,0.008695652173913044,4.6090606451034555,-6.4998458870832065,4.678249750315507,4.712627413499646,2.463523640701095,7.6334486421434065,-3.5185091426909367,0.006709741941037773,0.0008489639192074272
institutional commitment,313,502,6,0.07142857142857142,0.07142857142857142,20.753698654472828,-3.5218185177289616,29.04590021593413,29.50327232682617,7.200402579295603,12.370327580737914,-3.1031697125452546,0.011729763946499215,0.018678456804384985
bipolar system,23,3432,6,0.010752688172043013,1.0,23.772512391209602,-5.589547119760522,37.13116109232653,41.74947991560289,8.193569186622437,13.363494188064747,-3.1602742449276366,0.00173922909021967,0.20600627196046675
environmental provisions,959,237,6,0.125,0.023809523809523808,18.844665490090847,-4.068479737882767,24.069775050674423,24.45866238883089,6.667834726262603,11.837759727704913,-2.933321117599255,0.02444242843490604,0.0061560864745647745
small differences,1452,1643,6,0.024390243902439025,0.028571428571428567,7.140604548156261,-5.431381524679528,6.804067586225849,6.8361823226969145,3.2760224772331696,8.44594747867548,-3.8325372467721786,0.003261718447500627,0.00368882517622558
military involvement,1252,480,6,0.043478260869565216,0.0196078431372549,13.898398518562315,-4.598259323334616,14.661052747082062,14.795995151028867,5.265055537637858,10.43498053908017,-2.655444868452395,0.012020719528460243,0.004644865283401511
physical examinations,1635,12,6,1.0,0.027027027027027032,30.50862807035446,-4.526173169513551,68.42616834935167,84.01200978326953,10.201927559072391,15.371852560514705,-2.68986788201902,0.3329090074988453,0.003653191499408213
critical factors,834,1034,6,0.022727272727272728,0.038461538461538464,12.086384266614914,-4.706591945122686,12.122044442100847,12.206542276887438,4.744040936419396,9.913965937861708,-3.041618347031268,0.005552740660544428,0.006874464874838651
negative feelings,441,321,6,0.07142857142857142,0.047619047619047616,21.29079882055521,-3.4262647547020983,30.604472335841407,31.10530108016755,7.35090064749917,12.520825648941484,-2.5933872927820696,0.0182341371883114,0.01333948236486711
consociational democracy,6,767,6,0.05,1.0,37.16605411469936,-3.446623842336677,122.21190142871471,173.52637852724723,12.293919711954903,17.463844713397215,-1.8549950585852104,0.007760408547190281,0.4998008983197843
existing research,328,2640,6,0.012195121951219513,0.1,12.04621884226799,-5.371171613907212,12.046627122631685,12.175906142310286,4.738090761315095,9.908015762757406,-3.378724525810097,0.0021824201185525623,0.017279100542055798
essential feature,664,167,6,0.125,0.05263157894736842,22.52429372817278,-3.5494638194997696,34.41311496630234,35.193701154840724,7.703221256358018,12.87314625780033,-3.008876502590802,0.03450971188897989,0.008911866435851146
frontal speech,6,398,6,0.07692307692307693,1.0,40.5657464042306,-2.5305147166987796,169.08138901193044,240.92622903640742,13.24037785891419,18.410302860356506,-1.6297431785948457,0.014849927330892715,0.4998966752805214
revolutionary change,92,1213,6,0.029411764705882356,0.5,22.428049497306347,-4.193114628814202,33.892410098932345,35.07338839144818,7.6940391890014705,12.863964190443784,-3.819613842360874,0.004898181264723769,0.060909649664884664
good research,1469,2640,6,0.012195121951219513,0.020408163265306117,4.948897823691368,-5.838853746838187,4.953786551016734,4.974474572178857,2.575024085376899,7.7449490868192115,-3.2888128884832493,0.001886312836115096,0.003382825295937863
superior performance,121,1245,6,0.022222222222222227,0.25,20.91275020688772,-4.258435171261978,29.338750158946553,30.136041858094483,7.261171715948957,12.431096717391267,-3.1462055651492284,0.004764748018827232,0.046920951283319565
political interests,5244,892,6,0.03125,0.005917159763313609,4.148826517164707,-6.415976448248459,4.316763801966592,4.344618309988449,2.304613110036936,7.474538111479246,-3.17915242128469,0.005321831010095997,0.0009113148531634744
emotional problems,291,1907,6,0.014285714285714284,0.08333333333333333,14.286600776016712,-4.939905652836481,15.237774709625684,15.42388243588881,5.380000508957955,10.549925510400266,-2.9096890424784423,0.0030608863546188287,0.019707138092696152
mental imagery,445,88,6,0.14285714285714285,0.0625,27.83987507224083,-2.9201874182219765,57.08455052115634,59.40601751712217,9.204871835687936,14.374796837130248,-2.2733932868932416,0.06371426226130775,0.013280921895966406
pornographic magazines,11,23,6,0.3333333333333333,1.0,52.4727897644043,0.6463630453852995,530.3169477177993,740.2911189169764,16.478971405484682,21.648896406926998,-0.8512582616033005,0.2068936957288716,0.3529352048627276
adversarial relationship,6,1593,6,0.030303030303030307,1.0,33.368656054139144,-4.4838157772642555,84.93616028154281,120.36923192062768,11.239471927932527,16.40939692937484,-2.085107279215513,0.003750787398137713,0.4995865697722552
passive conception,81,267,6,0.1111111111111111,0.3333333333333333,30.892269246280193,-2.3219280948873617,76.32743994012199,79.99317723396966,10.061419045606815,15.231344047049127,-3.1023420086122493,0.02195699184963694,0.06889619905454576
pluralistic democracy,42,767,6,0.05,0.5,28.68859826773405,-3.5113134103354926,61.03233769213829,65.50871494067529,9.486564789897301,14.656489791339615,-3.1077580270805782,0.00775106174338193,0.12480089831978428
preliminary results,77,1799,6,0.03448275862068965,0.25,21.280226878821853,-4.7127180479195285,30.224973117078854,31.44110795412325,7.382198968232611,12.552123969674922,-3.5016825262417424,0.003304108098703372,0.07182228831632796
social situation,5779,834,6,0.047619047619047616,0.008695652173913044,4.024119578301907,-6.523779737782975,4.218423567903473,4.247471860758302,2.2614572521587286,7.43138225360104,-4.015245834133742,0.005644664747369608,0.0008206749734225613
generic enterprise,38,225,6,0.14285714285714285,1.0,35.512004882097244,-1.9333628069697093,116.74676292349527,127.29575177126269,11.400256275518371,16.57018127696068,-3.5242574744193824,0.02596415987772353,0.13630522152429406
scientific discoveries,597,43,6,0.25,0.045454545454545456,29.872494384646416,-3.178803152788765,68.41571959001385,73.41678510400953,9.81411310421209,14.984038105654404,-2.0922614761518483,0.12229400051920347,0.00993908450384345
chronic diseases,116,43,6,0.2,0.2,38.29961145669222,-1.2479275134435857,152.25722701425343,166.69223641381794,12.177719230349323,17.347644231791634,-1.7123955434756164,0.12241886264461513,0.04916916361647701
new measures,4878,635,6,0.03448275862068965,0.005649717514124294,5.933006294071674,-6.261833747723844,5.7534801615774205,5.796786269312014,2.8992781557232834,8.069203157165594,-2.8191510766521435,0.00809546872798345,0.001063659117390377
regional center,403,557,6,0.08333333333333333,0.08333333333333333,18.924024909734726,-3.7548875021634687,24.29423555254055,24.61159045921532,6.685795434310997,11.855720435753307,-3.7681695638418566,0.010552570972770906,0.014525329933724653
full freedom,640,743,6,0.05,0.05263157894736842,15.089785531163216,-4.2761244052742375,16.573773061659864,16.724245811644188,5.602818484753035,10.772743486195347,-3.548474029894935,0.00784454104303195,0.009095052854310677
spherical aberration,11,11,6,0.5,1.0,55.72773916274309,1.082462160191973,692.6500637419148,1070.466971558008,17.543101742904398,22.713026744346713,-0.5191244265806858,0.3529383204753219,0.3529383204753219
continental shelf,27,6,6,1.0,0.5,54.08618525415659,0.6780719051126378,591.7158409798174,925.1429919507336,17.12211497729437,22.292039978736682,-0.8109302162163288,0.4999929898589222,0.18181662400055967
criminal evidence,19,1171,6,0.02564102564102564,0.5,30.23006983101368,-4.061296179268873,68.55776565782081,78.8550601486931,10.020512106234193,15.190437107676509,-2.0698245776184563,0.005092772959799164,0.2396960578626924
private pension,1014,74,6,0.2,0.04,24.446403652429577,-3.93336280696971,41.07588398532885,42.85227824682377,8.266669677546703,13.436594678989014,-2.8138906015968863,0.0747367977054159,0.005863140196376245
personal interviews,1075,100,6,0.16666666666666666,0.02564102564102564,22.633411593735214,-4.043179218199596,34.61335252087264,35.751473931007716,7.7479878459274465,12.91791284736976,-2.546406072736043,0.056324742039805475,0.005524453287833347
preferred goal,44,679,6,0.05882352941176471,0.5,29.0936041995883,-3.3516754382814145,63.53218635286441,68.03137928260682,9.595265597296963,14.765190598739276,-3.194931298404686,0.008747700204405639,0.11982373777164565
spare time,6,5871,6,0.009433962264150943,1.0,26.58363476395607,-6.353881956745014,44.20509921467296,62.5953575646405,9.357611938109876,14.527536939552188,-2.222581692724064,0.0010193712278092056,0.498477993118175
comprehensive program,199,2246,6,0.014492753623188406,0.14285714285714285,15.36682403087616,-5.092757140919853,16.984127358943677,17.267697212984295,5.692198147234745,10.862123148677055,-3.2466753679141984,0.002612633372544362,0.028685488569980117
related groups,145,2232,6,0.013888888888888888,0.3333333333333333,16.992789424955845,-5.052266137014019,19.959603505540517,20.40284181359336,6.157934578334872,11.327859579777186,-3.7285897197815014,0.0026433192468709736,0.03915592591578833
clinical psychologists,129,227,6,0.16666666666666666,0.14285714285714285,29.37347224354744,-2.3536369546147005,66.30279642299911,68.72333421079293,9.624189237464826,14.794114238907136,-2.9635738651035965,0.025717580952073518,0.04438551039268685
professional autonomy,691,226,6,0.1111111111111111,0.03225806451612903,20.77494105696678,-3.6896097849403406,29.077578936621553,29.597581638268394,7.209244117375549,12.379169118817858,-2.74394410276248,0.025682692205009617,0.008549646931714066
close relatives,297,79,6,0.2,0.09090909090909093,30.469213023781773,-2.4299878407448148,73.29142522783957,76.79758729214976,9.943865111201124,15.113790112643436,-2.47232786758114,0.0705111291475116,0.019781469321413496
low degree,717,1252,6,0.037037037037037035,0.038461538461538464,11.884693443775175,-4.782088163447175,11.860972622344587,11.944388651666042,4.686116824544471,9.856041825986784,-3.570121049777743,0.004583350510770433,0.007973795702836557
scholarly research,60,2640,6,0.012195121951219513,0.5,20.53434681892395,-5.235216461694032,27.96449125777805,29.373520315340162,7.18875217032466,12.358677171766972,-3.2894933920821536,0.002251995738332312,0.09022411959485928
virtual groups,39,2232,6,0.013888888888888888,0.3333333333333333,23.50764759629965,-4.9867901427823895,36.94325358389949,39.748908914989,8.05244144948756,13.222366450929869,-2.415417623490573,0.0026708394196663984,0.13275415991137332
similar problems,1053,1907,6,0.014285714285714284,0.05263157894736842,7.950563885271549,-5.367293399096284,7.547743833453004,7.586315461726303,3.5245861308405217,8.694511132282832,-3.736231958062485,0.0028631122261057788,0.005170840270279348
sympathetic companionship,49,6,6,1.0,0.5,51.2138117775321,0.10383581098453992,458.33588337543677,686.7386099290958,16.262292635342632,21.43221763678494,-1.4069136483226263,0.4999872779647859,0.10908935127328696
particular class,1190,1357,6,0.023809523809523808,0.024390243902439025,8.996043287217617,-5.151439430597134,8.572054714221053,8.61834278797332,3.8390141165648335,9.008939118007149,-3.259979622496658,0.004093182080483091,0.004664519530864063
enriched classes,19,545,6,0.038461538461538464,1.0,34.198057748377316,-3.0,100.26825915652988,115.65618106967672,11.123925047071118,16.29385004851343,-2.4036092973520926,0.010884359123520952,0.2398585180322013
new species,4878,536,6,0.038461538461538464,0.005649717514124294,6.702803961932659,-6.235748330839554,6.408339274747753,6.4618465500776265,3.143801746925038,8.313726748367351,-2.7588595307952466,0.009805205014113862,0.0010893553350703683
mean rating,276,49,6,0.3333333333333333,0.1111111111111111,33.22064661234617,-2.2266797797395457,94.48671559263346,101.19853210148057,10.738730679285617,15.908655680727927,-2.632865359367337,0.10901925450340584,0.021263873709466776
careful attention,120,1136,6,0.022727272727272728,0.16666666666666666,21.42801719158888,-4.138414028697095,30.84872873667869,31.7001215811946,7.405327265065794,12.575252266508105,-2.6632923004607165,0.005222785025053858,0.04732418732468568
low tide,717,33,6,0.5,0.038461538461538464,30.20166889578104,-3.4037221860510094,70.03845311210347,76.47955549794645,9.931741552118636,15.101666553560948,-2.536820745028564,0.15366002899921366,0.008290187249863013
environmental influences,959,59,6,0.5,0.023809523809523808,25.861896887421608,-3.838503620628268,46.88862468753661,49.38772445829938,8.673934925799019,13.843859927241335,-2.929092781489734,0.092058762717907,0.0062022982511511435
obvious question,313,1551,6,0.03571428571428571,0.125,14.969824112951756,-4.7035191110730645,16.34905237381399,16.54230562877058,5.572963162210286,10.742888163652596,-4.097693363405543,0.003772304871658137,0.018406243045997413
ideological conflict,166,670,6,0.05,0.3333333333333333,22.508447363972664,-3.5579954531208866,34.358961546660574,35.13603781786198,7.698908263486935,12.868833264929247,-3.9414020000633436,0.008832641814452894,0.03470979461372716
main road,593,162,6,0.25,0.0625,23.263106241822246,-3.4131577660606207,36.957693481682256,37.83541139549255,7.910226682748367,13.080151684190676,-3.730388712414328,0.03556034486754876,0.00997463511856195
new administration,4878,783,6,0.047619047619047616,0.005649717514124294,5.008721575140953,-6.299971147228607,4.998237669288873,5.031775692302993,2.59702244009177,7.766947441534081,-3.351432166013306,0.006339657050649436,0.0010252470327817152
abstract ideas,95,695,6,0.05555555555555555,0.2,25.148636400699612,-3.4775334250126075,44.118010578314426,45.69170657841566,8.451240204237177,13.621165205679489,-3.0144601283789583,0.008534536265489761,0.05922552566047936
rhetorical organization,49,496,6,0.06666666666666668,0.5,30.19305280596018,-2.9516085158977203,70.78086068931029,75.44789065377917,9.893058825676912,15.062983827119222,-3.1136799047172885,0.011939469199845686,0.10896214588229608
different classes,2783,545,6,0.038461538461538464,0.0125,9.290978029370306,-5.5357073859191015,8.867127991938348,8.936195214276891,3.9294273671830986,9.099352368625409,-3.0084284450376613,0.010167245058756814,0.0020098267450015827
ethnic differences,336,1643,6,0.024390243902439025,0.09090909090909093,14.318937875330448,-4.789352504278192,15.297302258384828,15.466816684983606,5.38753079245016,10.557455793892473,-3.5264040000416834,0.003551338516644561,0.017117458487899827
substantial reductions,251,42,6,0.5,0.14285714285714285,34.46370226889849,-2.0827404310079363,105.96175844832734,114.63582071368656,11.098104003449464,16.268029004891776,-3.040546289343784,0.12493483544131595,0.02333539888051504
various degrees,1132,222,6,0.09090909090909093,0.03571428571428571,18.324596166610718,-4.245816766847779,22.857354057786377,23.236510952585732,6.5228908709970055,11.69281587243932,-3.1207999192057234,0.026021967114737112,0.005214771713156272
physical form,1635,1436,6,0.03448275862068965,0.027027027027027032,7.215098038315773,-5.420194172664863,6.870928774013724,6.903917229364498,3.2990500259704985,8.468975027412808,-4.107282151852715,0.0037365618215452773,0.0032836078213170352
old guard,800,6,6,1.0,0.05,36.94739987701177,-3.5060320314994367,119.68184677172137,169.94256382672353,12.233146289683113,17.40307129112543,-1.8971199848858813,0.4997923337943523,0.007442610916869178
undiscovered oil,13,682,6,0.03225806451612903,1.0,34.709046348929405,-3.2956414033670867,102.93225287347164,124.99710804463577,11.34789733301373,16.517822334456042,-2.0724728723637424,0.0087175549671779,0.3156124328209987
certain level,956,1735,6,0.022727272727272728,0.030303030303030307,8.865671016275883,-5.230420795092383,8.43930925917982,8.48562512837996,3.800378224732623,8.970303226174934,-3.4573044715915096,0.003198144165731084,0.005786739437707667
valuable resources,183,952,6,0.028571428571428567,0.1111111111111111,20.199226126074787,-3.9937246745735133,27.456075010318948,27.995844296236296,7.0514473785870075,12.221372380029322,-2.7319596103510437,0.00621553676263542,0.03149891871154598
following examples,920,415,6,0.05263157894736842,0.038461538461538464,16.203528471291065,-4.225609134019991,18.540983283626773,18.743160081581088,5.919507403000332,11.089432404442643,-3.066597734629752,0.014012972775063658,0.0063717440300608535
daily newspaper,258,46,6,0.2,0.1111111111111111,33.87790459394455,-2.1338557467347905,100.4399590923557,108.03595581914679,10.927175768698726,16.09710077014104,-1.9914195531842829,0.11531763360936988,0.022715329582871285
basic ways,804,1220,6,0.028571428571428567,0.04,11.44357392936945,-4.821596844633382,11.308497838303904,11.383984382473564,4.5582478565498175,9.728172857992131,-3.4384625820925443,0.004685259790958096,0.007090750967186433
dominant society,316,1542,6,0.02,0.16666666666666666,14.951257817447186,-4.698897553332686,16.318670200735777,16.510276124466756,5.567597182086859,10.737522183529167,-3.8092763545978765,0.003793930533864926,0.018233340843878502
electoral law,111,1316,6,0.022727272727272728,0.125,21.06165198236704,-4.320925875297986,29.74013891229525,30.609481066015586,7.305605340093647,12.475530341535958,-2.444732199143389,0.004509759071898333,0.05094048612460428
cumulative effect,61,1315,6,0.02631578947368421,0.3333333333333333,24.060755595564842,-4.268866851135948,39.42874048290133,41.42467369025302,8.170380558436444,13.340305559878757,-2.9727484219345706,0.0045261760397098064,0.08921093310792992
political pressures,5244,153,6,0.1111111111111111,0.005917159763313609,12.378853246569633,-6.231221180711184,12.422588705699225,12.697887971549926,4.8481251672645875,10.0180501687069,-2.6846355355606226,0.036376165590085066,0.001103134309575432
optical fibers,6,6,6,1.0,1.0,60.45189868658781,1.5849625007211563,981.2604139765283,1962.529999770704,19.29203997873668,24.46196498017899,0.0,0.4999984421823779,0.4999984421823779
nuclear fusion,588,49,6,0.5,0.05,29.312217354774475,-3.1721496665568263,65.05478680879585,69.28992753867317,9.64758279122742,14.817507792669733,-2.996148853439207,0.1089382660295746,0.010088288065796027
medical services,451,1071,6,0.025,0.043478260869565216,15.006167151033877,-4.413157766060621,16.426785418779186,16.587235273151098,5.580238592173358,10.750163593615671,-2.679922801451231,0.005453948210224185,0.012851109267822005
major drawback,1751,6,6,1.0,0.017241379310344827,32.876909002661705,-4.6187933312481455,81.02057334844447,114.85514428638473,11.10303911102428,16.272964112466592,-1.6157398525113775,0.4995455827712808,0.003413353963823509
negative correlations,441,164,6,0.14285714285714285,0.047619047619047616,24.729331120848656,-3.0992016777071054,42.575481266072174,43.649698481003036,8.319778130003389,13.489703131445706,-2.6149597780361984,0.03517963098215921,0.013380240190289895
situational specifics,36,36,6,0.5,0.5,44.978931963443756,-0.222392421336448,280.34046437894614,327.07049904384303,14.122114977294368,19.29203997873668,-2.19722457733622,0.14284779602421335,0.14284779602421335
domestic economy,505,871,6,0.038461538461538464,0.043478260869565216,15.48464433848858,-4.268866851135948,17.248572784668234,17.41586273007941,5.715296493940972,10.885221495383284,-3.017090713721121,0.006710405799631598,0.011515590560128916
theoretical science,315,921,6,0.038461538461538464,0.08333333333333333,17.602226704359055,-4.115477217419936,21.308227085452497,21.585443193887425,6.31569961570038,11.485624617142694,-3.2515105488153475,0.006390713045145557,0.018452520574811032
central questions,970,1228,6,0.022727272727272728,0.029411764705882356,10.482159659266474,-4.939905652836481,10.17045674851196,10.232410169941993,4.278029197734326,9.447954199176637,-3.096369083213984,0.004610452465502088,0.0058288087695389425
personal interests,1075,892,6,0.03125,0.02564102564102564,11.556911766529085,-4.7806308956052,11.449321855900545,11.526096866420234,4.590944135781867,9.76086913722418,-3.0607255857562894,0.006402482931514506,0.005318873991527423
central issues,970,1237,6,0.02325581395348837,0.029411764705882356,10.446165651082993,-4.945768950754699,10.12950638512354,10.191043099616467,4.267494258128134,9.437419259570447,-3.1266608651240833,0.00457524721235676,0.005826473534265525
instructional methodology,238,61,6,0.25,0.07692307692307693,32.90084718167782,-2.11084576868829,92.02982110944723,97.66790816123726,10.636409879308165,15.806334880750477,-2.0483818808072485,0.08949044909556657,0.02457432634809516
longitudinal acceleration,43,52,6,0.2,0.25,42.323236472904675,-0.5715419849588347,220.8527345651637,248.9945263602327,13.335260507335803,18.505185508778123,-1.1331926222648887,0.10343711160969353,0.12243547866702338
increased attention,236,1136,6,0.022727272727272728,0.16666666666666666,17.995447345077988,-4.2647032261944124,22.131071736071206,22.475170602056718,6.429574811312472,11.599499812754786,-3.3396323627042808,0.0051926699543876605,0.024498528135390128
rational proof,192,99,6,0.2,0.1111111111111111,31.575519390404224,-2.0732489820306386,81.59247394688356,85.33906637271608,10.247645859378228,15.41757086082054,-2.4624337939359418,0.05709300938621389,0.030277326932903068
inappropriate behaviors,92,339,6,0.05263157894736842,0.2,29.02086338400841,-2.621237887112706,63.94547015044464,66.58462753416087,9.533261560985636,14.703186562427948,-2.21039285437284,0.01736741834429719,0.06113648070943451
social identity,5779,649,6,0.037037037037037035,0.008695652173913044,5.084529399871826,-6.482919971559666,5.057300168663732,5.096647782316096,2.623286157604253,7.7932111590465665,-3.5131307201981787,0.007662112948023916,0.0008686892690313891
literary works,414,264,6,0.1,0.05882352941176471,22.618929982185364,-3.2605275502232187,34.795679100554516,35.449941957664144,7.7240839033212145,12.894008904763528,-2.882497701465258,0.022114744191614348,0.014217174901530268
particular relevance,1190,124,6,0.16666666666666666,0.024390243902439025,21.022336140274998,-4.2029400586702765,29.661911554597136,30.46224629732032,7.2910228115968145,12.460947813039123,-2.8131396773221398,0.04584497394232631,0.004984528496830025
direct action,641,1032,6,0.028571428571428567,0.03333333333333333,13.41721934080124,-4.548607874626908,13.951123533847063,14.062437759156346,5.126557178136999,10.29648217957931,-2.8622190213544982,0.005613947405621421,0.009005697051475045
military occupation,1252,116,6,0.2,0.0196078431372549,21.096919842064377,-4.26052755022322,29.85754397130496,30.708816092863326,7.313965138118802,12.483890139561113,-2.7613052591518725,0.048855368384967034,0.004739358410489044
whole body,350,911,6,0.04166666666666666,0.09090909090909093,17.121232137084007,-4.144091702459046,20.317944227850408,20.56402113180261,6.179446624544616,11.349371625986926,-3.513008010140992,0.006452210666299378,0.01661745950624938
monetary systems,488,741,6,0.024390243902439025,0.05555555555555555,16.48364818096161,-4.1073623986880445,19.07451418829837,19.27454569467753,5.997897910310273,11.167822911752586,-2.610853268092652,0.007905441868282471,0.0119533952189015
disposable income,6,394,6,0.05555555555555555,1.0,40.617988370358944,-2.5165755257409064,169.9250459651432,242.14649378663205,13.254950660001462,18.42487566144377,-1.2942196821737142,0.014998442182377862,0.499897713613695
cadaveric bones,11,41,6,0.5,1.0,49.72351544350386,0.16992500144231235,416.56216853851754,554.459453987733,15.644981356923616,20.814906358365928,-1.834801220486623,0.1276567184728188,0.3529305314802375
